plottag,dbh.x,year.x,plot.x,species,kgc.x,basal_area.x,dbh.y,year.y,plot.y,kgc.y,basal_area.y,dbh_gr,basal_gr,dbh_inc,kgc_inc,basal_inc,kgc_gr,pl_row,pl_col
A1-19,47.91,1998,A1,ro,793.7610728025312,1803,48.05,1999,A1,799.3159058053528,1813,0.14000000000000057,0.005546311702717693,0.0029221456898351197,0.006998117183057595,10,5.554833002821624,A,1
A2-25,14.01,1998,A2,rm,35.508240988813746,154.2,14.15,1999,A2,36.340492469129074,157.3,0.14000000000000057,0.020103761348897686,0.009992862241256286,0.023438262700129657,3.1000000000000227,0.8322514803153283,A,2
A2-26,39.89,1998,A2,bo,480.642294242072,1250,40,1999,A2,483.96672988096225,1257,0.10999999999999943,0.0056,0.002757583354224102,0.0069166523186074596,7,3.324435638890236,A,2
A2-27,10.47,1998,A2,rm,18.01374753686451,86.1,10.62,1999,A2,18.620803944329776,88.58,0.14999999999999858,0.028803716608594706,0.014326647564469778,0.03369961781816611,2.480000000000004,0.6070564074652651,A,2
A2-29,15.55,1998,A2,rm,45.27517316295618,189.9,15.67,1999,A2,46.093434066269396,192.9,0.11999999999999922,0.01579778830963665,0.007717041800643036,0.01807305960748289,3,0.8182609033132167,A,2
A2-30,22.51,1998,A2,rm,107.19220553357262,398,22.6,1999,A2,108.19344930221476,401.1,0.08999999999999986,0.007788944723618148,0.003998223011994663,0.00934063968231861,3.1000000000000227,1.0012437686421407,A,2
A2-31,39.34,1998,A2,bo,464.22599095442564,1216,39.41,1999,A2,466.2963299413038,1220,0.06999999999999318,0.003289473684210526,0.0017793594306048086,0.004459765345369024,4,2.0703389868781414,A,2
A2-32,41.09,1998,A2,ro,549.9214069590353,1326,41.2,1999,A2,553.446435414855,1333,0.10999999999999943,0.005279034690799397,0.002677050377220721,0.00641005862149019,7,3.525028455819779,A,2
A2-33,30.93,1998,A2,bo,254.25869963053745,751.4,30.99,1999,A2,255.49506781604265,754.3,0.05999999999999872,0.0038594623369709573,0.0019398642095052932,0.004862638671957979,2.8999999999999773,1.2363681855051993,A,2
A2-34,40.18,1998,A2,ro,521.2607046455187,1268,40.25,1999,A2,523.4337392410956,1272,0.07000000000000028,0.0031545741324921135,0.0017421602787456518,0.0041688056978220036,4,2.1730345955769508,A,2
A2-35,21.94,1998,A2,rm,100.97401739707776,378.1,21.88,1999,A2,100.3317884203327,376,-0.060000000000002274,-0.005554086220576627,-0.002734731084776767,-0.006360338959472219,-2.1000000000000227,-0.6422289767450593,A,2
