"","Plot","E","N","bearing","distance","E.1","N.1","elevation","slope","aspect","plot","SIMMONS_SO","MESIC_SOIL","DRAINAGE_C","TYPE_","geometry"
"14","D2",-72.17333147,42.53687172,243.1935574,91.78189636,732128.153106749,4713260.05959824,349,3.43891239537828,33.6900675259793,"D2","Gloucester stony loam","Canton loam","well drained","Bf",c(144686.933247107, 920920.656378807)
"15","D3",-72.1738539,42.53665254,247.2403691,56.68302669,732086.060066825,4713234.28734592,351,3.4389123953783,56.3099324740202,"D3","Gloucester stony loam","Canton loam","well drained","Bf",c(144643.825036301, 920896.649173124)
"16","D4",-72.17524182,42.53602925,245.815811,153.2517332,731974.38350193,4713161.26707646,360,5.88512933368605,75.9637565320737,"D4","Gloucester stony loam","Canton loam","well drained","Bf",c(144529.263590063, 920828.3169184)
"17","D5",-72.17602022,42.53570034,247.0938044,84.60515491,731911.673405801,4713122.60908568,366,2.26363605842695,71.5650511770779,"D5","Whitman very stony silt loam","Whitman loam- extremely stony","very poorly drained","Wvs",c(144465.030240374, 920792.288707565)
"18","E1",-72.1718475,42.53772139,NA,NA,732246.875093772,4713358.48566989,344,1.96786377642224,104.036243467927,"E1","Gloucester stony loam","Canton loam","well drained","Bf",c(144809.579817878, 921014.074972249)
"19","E2",-72.17353167,42.53785563,274.5573484,159.719024,732108.064278975,4713368.77505581,344,0.754894497565459,18.4349488229199,"E2","Whitman very stony silt loam","Whitman loam- extremely stony","very poorly drained","Wvs",c(144671.350513566, 921030.077218065)
"20","E3",-72.17424659,42.53791698,274.9046163,67.8619628,732049.12393099,4713373.62851153,345,2.38594403038876,36.8698976458432,"E3","Acton stony loam","Scituate loam","moderately well drained (SFSL)","Sf",c(144612.677026321, 921037.355859393)
"21","E4",-72.1753998,42.53799538,273.8890716,109.1922794,731954.125933617,4713379.17512198,351,5.80822298042877,55.0079798014417,"E4","Gloucester stony loam","Canton loam","well drained","Bf",c(144518.015240867, 921046.813875629)
"22","E5",-72.17725783,42.53817231,275.4395979,176.640086,731800.880119205,4713393.73510378,361,2.26363605842693,18.4349488229206,"E5","Gloucester stony loam","Canton loam","well drained","Bf",c(144365.543131262, 921067.677190138)
"23","F1",-72.17245577,42.53793523,92.82643369,453.7764034,732196.127687515,4713380.56460044,344,0.337614711017438,45.0000000000031,"F1","Whitman very stony silt loam","Whitman loam- extremely stony","very poorly drained","Wvs",c(144759.800416171, 921038.221705698)
"24","F2",-72.17339952,42.53816458,283.6591007,93.69657814,732117.771870764,4713403.44655731,344,0.337614711017429,315.000000000002,"F2","Acton stony loam","Scituate loam","moderately well drained (SFSL)","Sf",c(144682.476960841, 921064.309134817)
"25","F3",-72.17451928,42.53842324,283.0069995,110.6419465,732024.853273026,4713429.10194939,344,1.68760489417697,45,"F3","Acton stony loam","Scituate loam","moderately well drained (SFSL)","Sf",c(144590.721542926, 921093.767446068)
"26","F4",-72.17598849,42.53879665,284.2603146,146.5330252,731902.812160277,4713466.5445096,349,6.69634652150454,62.5255683737228,"F4","Acton stony loam","Scituate loam","moderately well drained (SFSL)","Sf",c(144470.362594636, 921136.200632718)
"27","F5",-72.17676584,42.53897192,282.7058043,76.64573275,731838.324104531,4713483.8796626,355,6.25509971741469,81.2538377374449,"F5","Acton stony loam","Scituate loam","moderately well drained (SFSL)","Sf",c(144406.662344825, 921156.17568208)
"28","G1",-72.17256484,42.53813773,101.2310218,410.2190427,732186.419415188,4713402.75335223,344,0.337614711017438,45.0000000000031,"G1","Gloucester stony loam","Canton loam","well drained","Bf",c(144751.018197798, 921060.785698668)
"29","G2",-72.17322802,42.53841011,292.3285444,71.58561037,732130.946057099,4713431.18309618,344,1.0675202709771,333.43494882292,"G2","Acton stony loam","Scituate loam","moderately well drained (SFSL)","Sf",c(144696.780087206, 921091.470973718)
"30","G4",-72.17495193,42.539127,292.5802007,186.6369035,731986.714694911,4713506.06976906,343,0.337614711017384,44.9999999999969,"G4","Gloucester stony loam","Canton loam","well drained","Bf",c(144555.800273614, 921172.221034931)
"31","G5",-72.17636887,42.53972391,292.8440106,153.8868122,731868.140055126,4713568.47600142,346,6.92624908207265,84.0938588862296,"G5","Gloucester stony loam","Canton loam","well drained","Bf",c(144439.933377816, 921239.446776672)
"32","H1",-72.17198852,42.53799862,111.4980214,468.2991068,732234.265573145,4713388.88557563,344,2.71992331492017,74.7448812969422,"H1","Gloucester stony loam","Canton loam","well drained","Bf",c(144798.238264779, 921044.960458009)
"33","H2",-72.17284229,42.53853796,302.2810407,106.0319158,732162.149925573,4713446.4385519,344,1.21711813160348,11.3099324740215,"H2","Gloucester stony loam","Canton loam","well drained","Bf",c(144728.577765892, 921105.422308904)
"34","H5",-72.17593787,42.54048131,302.1199299,383.4314848,731900.729749842,4713653.7664986,345,4.10029371291593,125.537677791975,"H5","Gloucester stony loam","Canton loam","well drained","Bf",c(144476.003686666, 921323.296827739)
